USER_ID;ITEM_ID;RATING
ManuelaW590;359688178;5
simonahaenzi;359688178;5
Andreija21;359688178;5
513gilbertes;359688178;4
weiler_tom;359688178;1
scorbisi;359688178;1
Lorino75;359688178;1
655elisabethh;359688178;3
E2426VQ;359688178;4
SchallUndRauch;359688178;2
LucaP3891;359688178;3
ucky1199;359688178;2
ziskaemily;359688178;5
Chrigel2014;359688178;4
janices879;359688178;4
Friederike58;359688178;4
486jeannineb;359688178;5
Mustardkitten;359688178;4
jobinoy;359688178;3
Singesan;359688178;4
juniormejia1989;359688178;5
marcwyler2;359688178;5
augundohr1;359688178;4
hilippS226;359688178;4
Roebi71;359688178;4
dlovingaddict;359688178;1
kiwijazz;359688178;4
g1na;359688178;2
RetoG248;359688178;3
Michelis_8360;359688178;5
michaelsX6571GM;359688178;4
Inappix;359688178;3
mhaefeli;359688178;4
GeriM489;359688178;3
865DanielC;359688178;5
arisjosef;359688178;1
374andreash;359688178;2
adia11;359688178;3
aderico;359688178;2
Meerrauschen;359688178;4
Feinschmecker_Paar;359688178;3
BeKuRo;359688178;3
Radvila;359688178;3
dg_tipps;359688178;5
piiit;359688178;4
pooniepie;359688178;4
Apenzeller;359688178;4
FrankGeisler;359688178;3
marcovandaal;359688178;5
Morrovalle;359688178;2
kuedek;359688178;2
tobiasvE6884NC;9040336569;5
ClaudeJaermann;9040336569;5
honestPi;9040336569;5
Tokenminer;9040336569;5
713ursa;4417689793;1
Guide62192233952;10908421505;5
SusanneK2346;10908421505;2
EWander9;10908421505;2
vxlvxc;10908421505;4
Seaside08525121628;10908421505;1
jolandas811;10908421505;5
amueller123;10908421505;5
KBerg-Senautka;10908421505;4
845natashau;10908421505;5
connys757;10908421505;3
MarkusH3053;10908421505;5
Suri-from-Winterthur;10908421505;1
Chris_Roitzschjora;10908421505;5
assenger54981992779;10908421505;5
MartinaS3971;10908421505;1
Satoriosaka;10908421505;3
CorneliaL632;10908421505;3
TravelNishi;10908421505;1
807rolfh;10908421505;5
waltik2013;10908421505;5
tonybellwald;10908421505;4
Jochanan658;10908421505;5
Kiddy12;10908421505;4
Buddha92;10908421505;5
Lopezoli;10908421505;5
Boreas95;10908421505;5
pascalscheiwiler;10908421505;5
ascalG2074;10908421505;5
FamuBusinessReisen;10908421505;3
Skarholt;10908421505;4
EditionTwo;10908421505;4
492fsb;10908421505;2
sabrinama93;10908421505;2
vladomilic;10908421505;4
542rogerr;10908421505;4
georgf387;10908421505;2
patricklZ4290BX;10908421505;5
adrian10_12;10908421505;4
OKKO1971;10908421505;5
867ursk;10908421505;2
pionier8;10908421505;3
542rogerr;10908421505;5
sashirai;10908421505;5
Expedition97515;10908421505;5
ANSGAR_SCHAEFER;10908421505;5
Wintigirl323;10908421505;1
XELA91;10908421505;2
Mezler;10908421505;2
muhurr;10908421505;3
michi_jakob;10908421505;1
JanH5435;10908421505;2
Vally1313;10908421505;3
713ursa;10908421505;4
BienZh;10908421505;5
973yvesc;10908421505;5
Dyevox;10908421505;5
chraebsrolae;10908421505;4
_roth_hofer;10908421505;4
janices879;10908421505;3
Summerwind_87;10908421505;4
helendL6997CN;10908421505;2
Romifers;10908421505;2
Fischlin;10908421505;5
795dennyss;10908421505;5
boder50;10908421505;5
Curious665312;10908421505;4
jasmins963;10908421505;4
colourmessi;10908421505;2
101andreasz;10908421505;1
katiCH17;10908421505;4
ceandriver72;10908421505;4
senblog;10908421505;5
Dreamer180856;10908421505;1
sakas74;10908421505;4
542rogerr;10908421505;4
675angelikag;10908421505;5
Flugelch;10908421505;5
alemeier2016;10908421505;4
Tikitom_Casper;10908421505;5
t0c;10908421505;4
Globalsuisse;10908421505;5
AnnaLeeW61;10908421505;3
DanielE924;10908421505;4
SusanneK2346;10908421505;5
ThomasF4951;10908421505;2
R093R;10908421505;4
jschinke1067;10908421505;4
483heinzb;10908421505;4
12WernerN;10908421505;3
JuiceJus;10908421505;2
